#Note:	For	all	three	series	CAA	was	estimated	using:	CAL	data	and	2004	LAK																																										
#(up	to	3+	for	survey	and	pelagic	and	up	to	5+	for	MW),																																											
#solving	for	least	SS	of	proportion	at	length,	starting	at	0	for	every	age,	keeping	relative	freq	at	each	age	>	0.0001																																		
#This	work	was	done	by	M.	Wilhelm	-2004																																																
#	Proportion	of	Numbers	caught	by	age	by	Midwater	fleet,	0	to	plus	group:																																										
2008	0	0	0	0	0	0	0	0																																															
2009	0.169	0.276	0.377	0.154	0.019	0.005	0	0																																															
2010	0.108	0.249	0.456	0.157	0.02	0.007	0.001	0.001																																															
2011	0.323	0.27	0.266	0.124	0.013	0.004	0	0																																															
2012	0.243	0.242	0.364	0.137	0.011	0.003	0	0																																															
2013	0.154	0.285	0.293	0.242	0.023	0.004	0	0																																															
2014	0.159	0.267	0.286	0.252	0.030	0.006	0.000	0.000																																															
2015	0.455	0.169	0.270	0.100	0.005	0.001	0.000	0.000																																															
#																																																							
#	Commercial	CPUE:	Butterworth	et.al	-1990	S.Afr.J.mar.sci	9:327-357:	Namibian	data	will	be	a	GLM	Vaske's	data	at	the	moment																																					
#	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
#	Namibia																																																						
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.05	6.75728728	7.47366148	8.13655463	6.096845628	5.816506685	5.571596141	5.470127906	5.989525072	6.004318963	5.310486307	5.085884531	5.402282972	5.734635219	6.170737034	8.299104699	6.62038852	6.807250448	9.142685043	18.83729564	25.64432084	21.58350411	17.67119763	17.20903775	16.70899493	22.0568689
#	Bulgaria																																																						
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.755	4.388	5.042	3.657	4.106	5.487	4.949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	Poland																																																						
	0	0	0	0	0	0	0	0	0	0	0	0	1.574	1.448	3.806	3.103	3.479	8.884	8.039	5.43	9.354	6.764	7.963	5.397	2.888	1.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	Romania																																																						
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.863	5.752	2.052	2.173	5.116	8.42	5.765	3.792	7.284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	USSR																																																						
	0	0	0	0	0	0	0	0	0	0	0	0	40.396	80.854	33.111	35.71	36.04	38.165	35.459	24.343	25.66	25.817	17.836	15.289	19.826	45.089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#																																																							
#	survey	series	(Estimates	then	CVs)																																																		
#	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1807.571	1474	861.43	802.6	1059.301	1374.287857	1639.881207	546.4729847	534.2147742	0	1319.251912	1207.159291	1253.337678	1537.478422	1737.030747	1451.346	1176.782
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19	0.17	0.21	0.35	0.18	0.14	0.17	0.18	0.17	0	0.13	0.11	0.115801521	0.126206641	0.156361064	0.14196421	0.179142598
#																																																							
#startWeight	at	age:	Calculated	from	Von	Bertalanffy	growth	function	of	2004	data	(Wilhelm	2006)	and	average	a	and	b	parameters	from	all	surveys	1994-2006																																
#	0	1	2	3	4	5	6	7																																															
1961	9	29	62	107	162	224	291	416																																															
1962	9	29	62	107	162	224	291	416																																															
1963	9	29	62	107	162	224	291	416																																															
